A Mishra,AB Dinda	0.26666666666666666,0.5333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,1.0
A Mishra,AD Mathews	0.25,0.75,0.0,0.0,0.0,0.0,1.0
A Mishra,AG Murtaza	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Mishra,AN Ahmed	0.25,0.75,0.0,0.0,0.0,0.0,1.0
A Mishra,Azhar Mahmood	0.0,0.75,0.0,0.0,0.25,0.0,1.0
A Mishra,B Lee	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Mishra,CH Morris	0.6,0.2,0.2,0.0,0.0,0.0,1.0
A Mishra,CRD Fernando	0.0,0.75,0.0,0.0,0.0,0.0,0.75
A Mishra,D Wiese	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Mishra,DE Bollinger	0.6,0.0,0.2,0.0,0.0,0.0,0.8
A Mishra,DJ Bravo	0.0,1.0,0.0,0.0,0.0,0.0,1.0
A Mishra,DS Kulkarni	0.5,0.5,0.0,0.0,0.0,0.0,1.0
A Mishra,Harbhajan Singh	0.2222222222222222,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,1.0
A Mishra,Harmeet Singh	0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,I Sharma	0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
A Mishra,IK Pathan	0.2857142857142857,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,1.0
A Mishra,Iqbal Abdulla	0.2222222222222222,0.5555555555555556,0.0,0.0,0.2222222222222222,0.0,1.0
A Mishra,J Theron	0.25,0.75,0.0,0.0,0.0,0.0,1.0
A Mishra,JA Morkel	0.5,0.5,0.0,0.0,0.0,0.0,1.0
A Mishra,JD Unadkat	0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.0
A Mishra,JH Kallis	0.375,0.375,0.25,0.0,0.0,0.0,1.0
A Mishra,JO Holder	0.6,0.1,0.1,0.0,0.2,0.0,1.0
A Mishra,JP Duminy	0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
A Mishra,JP Faulkner	0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.6666666666666667
A Mishra,KA Pollard	0.5,0.4,0.0,0.0,0.0,0.0,0.9
A Mishra,KK Cooper	0.625,0.375,0.0,0.0,0.0,0.0,1.0
A Mishra,Kamran Khan	0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,L Ablish	0.25,0.75,0.0,0.0,0.0,0.0,1.0
A Mishra,L Balaji	0.42857142857142855,0.21428571428571427,0.07142857142857142,0.0,0.21428571428571427,0.07142857142857142,1.0
A Mishra,LR Shukla	0.0,0.0,0.0,0.0,0.0,0.0,0.0
A Mishra,M Morkel	0.36363636363636365,0.36363636363636365,0.18181818181818182,0.0,0.09090909090909091,0.0,1.0
A Mishra,MA Starc	0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.6666666666666667
