AJADDLA Jayasinghe,44.165,127.235,9
Ajatshatru Singh,0,136.36,1
AJC Silva,9.433333333,107.3266667,6
AJN Price,23.50166667,107.99,1
AK Argal,4.125,86.84,1
AK Bains,19.1025,90.6925,0
AK Das,1.8,47.714,9
AK Heal,4,75,4
AK Karnewar,18.66,175,7
AK Kaushik,3,37.5,5
AK Kitchen,23.24428571,121.4871429,5
AK Kruger,4.685714286,45.06857143,6
AK Mandal,18.33,91.39,8
AK Markram,16.55333333,126.73,1
AK Perera,22.47111111,109.1144444,8
AK Sahoo,21.5,111.528,7
AK Sarkar,0,212.5,6
AK Thakur,0,0,7
AK Tyronne,8.6,93.475,0
Akash Sudan,0,0,1
Akash Verma,14,89.36,7
Akbar Badshah,16.3725,110.5775,7
Akbar0ur0Rehman,12.49714286,98.26857143,8
Akhtar Ayub,0.25,16.665,4
AKKY Lanka,13.232,99.38,6
Akshat R Pandey,10.75,116.21,7
AL Davies,10.52333333,102.1966667,6
AL Dodson,21,101.9,5
AL Fekete,0,33.3325,1
AL Hughes,9.035,93.82,2
AL Kumar,13,92.85,6
AL Menaria,16.574,113.212,3
AL Ndhlovu,4.375,28.8075,7
AL Phehlukwayo,7.053333333,88.93,1
AL Seleka,3.932,58.392,7
Al0Amin,17.915,113.83,4
Al0Amin Hossain,4.3,53.332,0
Alamgir Khan,0,180,6
Alauddin Babu,11.4375,83.2075,5
Alex J Jones,2.25,25,1
Ali Abbas,0,0,5
Ali Ahmed,0,0,8
Ali Asad,30.5,91.02,1
Ali Asghar,0,75,6
Ali Azmat,28.79,120.3675,3
Ali Haider,8,55.38,8
Ali Khan,17.3875,101.20125,1
Ali Moazzam,0.333333333,5.553333333,9
Ali Mudassar,4,133.33,2
Ali Murtaza,0,0,6
Ali Rafiq,0,0,8
Ali Raza,14.5,56.3675,2
Ali Sarfraz,15.825,111.575,6
Ali Shan,6.7,131.185,9
Ali Talpur,0,183.33,6
Ali Waqas,25.358,104.382,9
Alleyn Prospere,5,71.42,1
Almar Afridi,9,72,9
Alok Kapali,20.048,95.232,1
AM Ali,15,125,6
AM Amla,21.91333333,94.02,5
AM Baig,21,84,4
AM Blignaut,23.8,123.95,9
AM Bloch,0,0,7
AM Brooker,10.5,45.65,8
AM Dabas,9,72,6
AM Ellis,17.69111111,121.5166667,5
AM Guruge,1,53.03,1
AM Hegde,23.33,118.64,8
AM Hicks,0,0,5
AM Lilley,7.33,144.1525,0
AM Makda,4.75,153.025,1
AM Manyumwa,5.5,87.31333333,1
AM Maposa,0,30.555,5
AM McCarthy,6.25,106.25,8
AM Muller,38,105.55,1
AM Nayar,22.78777778,122.4788889,6
AM Northcote,14.925,86.435,6
AM Phangiso,7.062222222,103.6688889,5
AM Rahane,25.62,107.3033333,1
AM Rossington,16.91833333,129.9583333,5
AM Salvi,0,23.18666667,5
AM Samad,19.6,103.71,0
AM Sodumo,16.372,138.946,1
AMA Dewar,10.2,110.86,6
Amad Butt,0,104.285,6
Amarjeet Singh,5.7,125.554,1
AMCM de Silva,0,0,7
Ameer Khan,11,137.5,6
AMI Sheikh,14.5,180.765,1
Amin0ur0Rehman,26.33,136.78,6
Amir Ali,16.15333333,131.7433333,6
Amir Hamza,2,31,1
Amir Khan,4,133.33,4
Amit Kumar,3.1,57.58,6
Amit Mishra,0,130.3,6
Amit Verma,12.01333333,83.94833333,7
Amit Yadav,14.42,146.184,6
Amitoze Singh,20.20333333,125.6,6
Amjad Ali,27.415,101.1275,1
Amjad Gul,12.5,108.69,6
Amjad Javed,12.572,116.47,4
Amjad Waqas,4,73.21,1
AML Perera,2.2,120.73,1
Ammar Ali,8,76.19,8
Ammar Hasan,0,0,6
Ammar Mahmood,17.165,85.77,6
Amrinder Singh,0.5,9.09,6
AN Ahmed,9.895,137.59125,6
AN Chauhan,5.25,73.2525,9
AN Cook,21.62857143,98.55857143,1
AN Fulper,17.5,121.32,6
AN Garhwal,15.275,149.525,6
AN Ghosh,16,97.856,1
AN Kervezee,18.58714286,107.12,1
AN Nanayakkara,14.15,102.68,3
AN Petersen,27.05777778,119.14,7
AN Yadav,36.33,98.19,1
Anamul Haque,26.5175,117.195,9
Anand Rajan,2.2,36.666,0
Anand Singh,13.25,120.05,8
Anas Khan,0,37.5,6
Anirudh Singh,15.5,100,4
Anisur Rahman,6,37.5,1
Ankit Sharma,9.558571429,106.1914286,6
Ankit Tiwari,11,59.45,9
Ankur Sharma,1,33.33,3
Anmolpreet Singh,14,100,8
ANPR Fernando,2.5,35.71,0
Ansar Javed,22.25,92.7075,7
Anshuman Rath,18.285,85.915,1
Anurag Singh,0,0,0
Anureet Singh,3.3325,30.875,7
Anwaar Hafeez,13,56.52,5
Anwar Ahmed,0,0,7
Anwar Ali,16.57125,141.5625,6
AO Bandy,11.08,81.31,6
AO Suji,5.5,51.315,1
AO Thomas,1,25,1
AP Agathangelou,12.95,112.72,5
AP Bais,6.0625,70.8975,6
AP Chopra,2,36.36,8
AP Devcich,24.805,122.6225,5
AP Dole,17,154.54,1
AP Ghosh,20.5,100,8
AP Majumdar,17.52,95.3475,6
AP McLaren,19.28714286,85.5,1
AP Palladino,6.833333333,88.07666667,6
AP Revandkar,0,0,7
AP Richardson,0,0,1
AP Rouse,6.1,58.65,8
AP Singh,8.665,65.585,7
AP Tare,25.27142857,122.7,6
AP Yadav,4.5,50,0
APR Gidman,16.30125,105.29125,9
Aqeel Anjum,23.73142857,108.3442857,7
Aqib Javed,3.75,55.95,9
AR Adams,17.36,145.7533333,5
AR Bawne,16.466,90.708,1
AR Beadle,7,100,5
AR Berenger,12.75,75,6
AR Bhati,0,0,7
AR Cusack,9.798571429,139.5914286,5
AR Ford,0,0,7
