AG Murtaza,6.363333333,18.1,4
AG Paunikar,0,0,2
AG Pradeep,0,0,5
AG Praveen,6.63,34.05,1
AG Prince,0,0,1
AG Puttick,0,0,0
AG Salter,10.75,15.13333333,8
AG Wakely,4.142857143,0,1
AG Wharf,10.095,24.6,1
Agha Sabir,17.14,0,7
Agha Salman,3.62,18.73333333,2
AGK Silva,8.75,24,8
AGS Gous,0,0,1
AH Gupta,0,0,1
AH Hooda,7.346,19.46,1
AH Kawaja,0,0,5
AH Razak,5.846666667,11.2,2
AH Shahid,7.15,15,9
AHJ Huisamen,0,0,1
Ahmed Bashir,6.87,19.3,1
Ahmed Butt,6,0,0
Ahmed Dar,0,0,5
Ahmed Hayat,9,9,2
Ahmed Jamal,8.783333333,29.23333333,7
Ahmed Rasheed,0,0,5
Ahmed Raza,8.242222222,25,1
Ahmed Said,0,0,1
Ahmed Shah,0,0,1
Ahmed Shehzad,6.758888889,8.833333333,5
Ahmed Zeeshan,0,0,1
Ahsan Ali,0,0,5
Ahsan Jamil,11,0,8
Ahsan Kareem,12,0,7
Ahsan Malik,7.118,18.2,2
AHT Donald,0,0,5
AI Ross,0,0,7
Aizaz Cheema,7.3925,15.8875,1
Aizaz Khan,7.034,18.42,1
AJ Ball,8.786,20.14,5
AJ Blake,0,0,1
AJ Crosthwaite,0,0,5
AJ Dibble,5.5,24,0
AJ Doolan,0,0,1
AJ Finch,7.28,10.875,2
AJ Hall,6.365,10.51666667,2
AJ Harris,7.115,14.8,4
AJ Hodd,0,0,4
AJ Hose,0,0,4
AJ Hosein,4.706666667,26.66666667,4
AJ Ireland,9.241666667,16.85,5
AJ Malan,2.166666667,0,0
AJ McKay,7.8825,12.05,0
AJ Mellor,0,0,1
AJ Nye,8.2,10,1
AJ Pienaar,4.435,8.666666667,8
AJ Redmond,6.862857143,8.985714286,0
AJ Shinde,8.892,18.16,5
AJ Shrikhande,0,0,1
AJ Strauss,0,0,2
AJ Turner,4.3575,9.2,7
AJ Tye,7.466666667,17.93333333,7
AJA Gray,7.9775,8.15,1
AJA Wheater,0,0,1
AJADDLA Jayasinghe,0,0,9
Ajatshatru Singh,7.5,0,1
AJC Silva,8.633333333,23.1,0
AJN Price,4.166666667,0,8
AK Argal,8.145,14.25,5
AK Bains,0,0,8
AK Das,8.058,27,8
AK Heal,6.964,24.34,0
AK Karnewar,7.32,24.5,4
AK Kaushik,0,0,1
AK Kitchen,4.924285714,10.8,8
AK Kruger,7.687142857,12.72857143,8
AK Mandal,0,0,2
AK Markram,4.39,15.5,1
AK Perera,4.236666667,12.66666667,8
AK Sahoo,7.496,21.6,9
AK Sarkar,6.79,21,0
AK Thakur,6.835,14.4,1
AK Tyronne,7.1,6,5
Akash Sudan,9,12,9
Akash Verma,0,0,1
Akbar Badshah,8.0175,15.375,1
Akbar-ur-Rehman,6.432857143,19.14285714,1
Akhtar Ayub,6.565,16.8,1
AKKY Lanka,0,0,5
Akshat R Pandey,9.86,45,0
AL Davies,0,0,0
AL Dodson,0,0,1
AL Fekete,10.955,17.625,7
AL Hughes,8.36,23.43333333,1
AL Kumar,11.5,12,4
AL Menaria,6.492,29.18,5
AL Ndhlovu,0,0,8
AL Phehlukwayo,8.926666667,10.66666667,8
AL Seleka,0,0,8
Al-Amin,6.75,6,4
Al-Amin Hossain,8.068,17.16,0
Alamgir Khan,8,0,1
Alauddin Babu,9.56,16.575,1
Alex J Jones,8.375,18.4,1
Ali Abbas,0,0,1
Ali Ahmed,10,0,8
Ali Asad,0,0,8
Ali Asghar,6.09,13.2,5
Ali Azmat,7.685,22.5,1
Ali Haider,0,0,2
Ali Khan,7.71125,10.625,7
Ali Moazzam,9.166666667,4,8
Ali Mudassar,7.91,24,8
Ali Murtaza,9.83,9,1
Ali Rafiq,0,0,5
Ali Raza,4.04,11,5
Ali Sarfraz,0,0,1
Ali Shan,0,0,2
Ali Talpur,9.85,21,8
Ali Waqas,0,0,8
Alleyn Prospere,6.83,36,7
Almar Afridi,0,0,1
Alok Kapali,7.572,23,0
AM Ali,0,0,7
AM Amla,2.665,7.5,2
AM Baig,8,0,7
AM Blignaut,13.5,12,2
AM Bloch,7.07,84,8
AM Brooker,8.9,5.9,1
AM Dabas,8.11,0,1
AM Ellis,8.464444444,18.57777778,5
AM Guruge,7.426666667,18.83333333,1
AM Hegde,0,0,8
AM Hicks,6.5,12,2
AM Lilley,7.2975,24.825,7
AM Makda,7.745,33,1
AM Manyumwa,6.416666667,16.66666667,0
AM Maposa,7.285,10.825,7
AM McCarthy,0,0,1
AM Muller,7,0,0
AM Nayar,9.198888889,25.16666667,1
AM Northcote,3.4,22.5,7
AM Phangiso,6.817777778,17.53333333,1
AM Rahane,0.555555556,0.666666667,9
AM Rossington,0,0,1
AM Salvi,8.76,23,7
AM Samad,9,6,2
AM Sodumo,0,0,1
AMA Dewar,7.28,31.5,5
Amad Butt,10.485,11.8,3
Amarjeet Singh,7.798,22.74,1
AMCM de Silva,12,6,1
Ameer Khan,0,0,1
AMI Sheikh,7.5,0,5
Amin-ur-Rehman,0,0,1
Amir Ali,7.773333333,29.66666667,4
Amir Hamza,7.464,21.32,9
Amir Khan,0,0,2
Amit Kumar,2.176,5.4,9
Amit Mishra,7.186666667,18.16666667,8
Amit Verma,4.976666667,9.616666667,1
Amit Yadav,6.48,22.78,2
Amitoze Singh,4.19,15.33333333,2
Amjad Ali,0,0,2
Amjad Gul,8,0,1
Amjad Javed,7.996,22.08,1
Amjad Waqas,8.79,21.85,1
AML Perera,8.252,15.6,8
Ammar Ali,0,0,1
Ammar Hasan,0,0,1
Ammar Mahmood,0,0,5
Amrinder Singh,4.89,13.3,1
AN Ahmed,8.1825,25.65,5
AN Chauhan,8.2075,15.025,7
AN Cook,0,0,1
AN Fulper,0,0,1
AN Garhwal,6.675,19.5,4
AN Ghosh,0,0,1
AN Kervezee,0.928571429,0,8
AN Nanayakkara,3.56,6,2
AN Petersen,3.324444444,6.644444444,8
AN Yadav,6.91,19.6,1
Anamul Haque,0,0,2
Anand Rajan,6.958,17.6,1
Anand Singh,3.165,9,5
Anas Khan,7,0,5
Anirudh Singh,0,0,9
Anisur Rahman,0,0,1
Ankit Sharma,7.401428571,20.9,1
Ankit Tiwari,0,0,9
Ankur Sharma,0,0,1
Anmolpreet Singh,0,0,5
ANPR Fernando,7.37,24,1
Ansar Javed,6.2825,22.5,6
Anshuman Rath,8.245,102,1
Anurag Singh,6.4,6,1
Anureet Singh,8.04625,14.025,5
Anwaar Hafeez,0,0,1
Anwar Ahmed,7.29,11.25,7
Anwar Ali,7.60125,22.5875,1
AO Bandy,0,0,9
AO Suji,6.99,20.15,2
AO Thomas,0,0,5
AP Agathangelou,0,0,1
AP Bais,0,0,1
AP Chopra,0,0,8
AP Devcich,6.24,36.4875,7
AP Dole,10.18,13.2,2
AP Ghosh,0,0,1
AP Majumdar,0,0,1
AP McLaren,0,0,8
AP Palladino,7.506666667,31.3,2
AP Revandkar,6.5,6,1
AP Richardson,5.995,13.5,5
AP Rouse,0,0,1
AP Singh,0,0,1
AP Tare,0,0,1
AP Yadav,0,0,1
APR Gidman,7.58,15.5,1
Aqeel Anjum,0,0,1
Aqib Javed,9.5,0,1
AR Adams,7.881666667,20.71666667,5
AR Bawne,3.054,3.6,1
AR Beadle,7.62,48,1
AR Berenger,0,0,2
AR Bhati,6.28,42,7
AR Cusack,6.874285714,15.11428571,8
AR Ford,0,0,1
AR Gupta,5.33,0,2
AR Holder,1.25,0,0
AR Keath,9,0,5
AR Kumar,2.75,2,1
AR Lamb,10.22,18,2
AR McBrine,8.943333333,9,1
AR Nurse,7.332857143,22.82857143,1
AR Pandey,9,0,3
AR Patel,6.995,23.275,7
AR Sarangi,0,0,8
AR Singh,8,0,1
AR Swanepoel,7.305,44.375,0
AR White,4.744,11.04,1
AR Yadav,12.25,0,8
Arafat Salahuddin,4.5,0,4
Arafat Sunny,6.934285714,19.88571429,8
Arfan Haider,0,0,7
Arif Reza,0,0,1
Ariful Haque,2.605,3.5,1
Arindam Das,0,0,1
Armaghan Elahi,9.2,0,1
Arman Hossain,0,0,4
ARN Lesmond,0,0,1
ARPS Chauhan,3.95,6,5
ARS Silva,0,0,5
Arsal Sheikh,8,12,8
Arsalan Arif,9.15,28.5,5
Arsalan Qadir,12,0,0
Arshad Ali,4.85,14,0
Arun Lal,8.636666667,29.16666667,2
AS Dean,7.035,16,7
AS Desai,4.853333333,16,2
AS Hansra,6.88,20.26666667,8
AS Jaggernauth,8.57,0,1
AS Jain,0,0,1
AS Joseph,11.16,14.4,5
AS Joshi,0,0,2
AS Karambelkar,7.625,6.375,7
AS Kuila,10.33,12,3
AS Kushwah,7.29,32.5,1
AS Kyobe,0,0,1
AS Lamba,0,0,5
AS Luseno,7.1,60,1
AS Miller,7.81,17,5
AS Naidu,8.526666667,18.8,1
AS Patel,9.57,0,9
AS Polonowita,7,30,8
AS Rajpoot,8.1425,15.175,1
AS Raut,6.908,18.28,1
AS Roy,0,0,1
AS Sarkar,9.33,7.2,4
AS Silva,0,0,1
AS Singhvi,6.66,18,1
AS Sinha,0,0,1
AS Tiwari,6.87,29.6,8
AS Verma,0,0,0
AS Yadav,0,0,1
ASA Perera,0,0,1
Asad Afridi,0,0,5
Asad Ali,7.45375,26.825,1
Asad Baig,4.94,17,1
Asad Shafiq,2.833333333,2.666666667,5
Asad Zarar,4.66,18,1
Asadu Seiga,11.965,18,0
Asadullah Sumari,0,0,5
Asghar Stanikzai,1,0.666666667,8
Ashar Zaidi,7.93,17.225,1
Ashfaq Ahmed,0,0,1
Ashish Yadav,6.291666667,8.666666667,2
Ashutosh Singh,4,18,1
Ashwin Das,8.16,12,8
Asif Afridi,6.632,17.72,5
Asif Ahmed,11.60666667,8.333333333,4
Asif Ali,2.378181818,14.04545455,1
Asif Ashfaq,12.66,0,5
Asif Babar,0,0,1
Asif Hasan,6,48,5
Asif Hussain,0,0,5
Asif Khan,3.79,49.5,1
Asif Raza,5.872857143,15.32857143,1
Asif Zakir,6.83,4.5,8
Asim Khurshid,10.34,29,1
Aslam Sattar,8.185,24.5,2
AT Rayudu,0,0,8
AT Rehman,6.57,16.8,7
Ata-ur-Rehman,0,0,1
Ataullah,7.475,19.05,1
Atif Ashraf,0,0,1
Atif Jabbar,6.965,57,1
Atif Maqbool,6.848,18.86,1
AU Rashid,7.656666667,29.97777778,1
AUK Pathan,3.271428571,0,8
AV Kolhar,8,9,0
AV Lalcheta,7.193333333,27.9,1
AV Suppiah,7.018,18.66,2
AV Ubarhande,0,0,1
AV Vasavada,2.975,9.65,9
AV Wankhade,0,0,9
Avinash Yadav,8.155,13.85,7
AVL Madushan,5.5,0,1
AVS Nikethana,7.28,7,1
AW Ekanayake,7,16.8,5
AW Gale,0,0,1
AW Hawkins-Kay,6.38,18,1
AW Mathieson,11.475,16.325,8
AW O'Brien,7.312857143,23.24285714,7
AW Robinson,0,0,1
Awais Alam,15,12,7
Awais Dogar,0,0,5
Awais Khan,0,0,1
Awais Zia,4.797777778,7.722222222,9
Awal Khan,6.71,84,1
AWL Silva,3,0,0
AWR Barrow,0,0,0
AWR Smith,0,0,8
AY Patel,10.29,5.633333333,8
Ayan Khan,3.5,12,1
Ayaz Jamali,0,0,1
Ayaz Khan,10.5,12,1
Ayaz Tasawwar,1.2,0,8
AZ Lees,0,0,8
Azam Hussain,8.203333333,28.48888889,8
Azam Jan,0,0,8
Azam Khan,6.5175,28.5,8
Azeem Ghumman,2.302857143,1.371428571,1
Azeem Rafiq,7.615,17.1125,1
Azhar Abbas,6.88,16.2,5
Azhar Ali,4.728888889,6.966666667,1
Azhar Attari,11.21333333,26,5
Azhar Mahmood,7.747777778,19.61111111,0
Azharullah,8.394,14.62,1
Azizullah,8.946666667,8.233333333,9
AZM Dyili,0,0,2
B Akhil,8.575,22.925,2
B Aparajith,6.205,10.5,9
B Arun Kumar,6.2,20,2
B Ayyappa,5.18,12.8,1
B Barnard,4.003333333,15.5,1
B Bhandari,0,0,1
B Cachopa,0,0,1
B Casson,9,66,5
B Chipli,2.2,4.8,2
B Dial,4,0,1
B Fernando,7.475,13.9,9
B Geeves,9.616666667,14.9,8
B Indrajith,0,0,1
B Katsande,0,0,7
B Kerr,0,0,9
B Kumar,7.094285714,30.04285714,8
B Kynman,7.78,0,1
B Laughlin,7.81125,15.925,1
B Lee,7.3375,26.45,2
B Loomba,7.45,22,1
B Masaba,7.45,10.2,2
B Mavuta,8.75,24,7
B Mlambo,0,0,7
B Mohanty,6.343333333,26.26666667,8
B Moses,6.04,10.5,1
B Mugochi,6.846666667,29.36666667,1
B Musoke,0,0,7
B Palekar,0,0,1
B Regmi,6.0475,16.475,8
B Staddon,9.024,8.16,7
B Stanlake,7.14,10.5,7
B Sudhakar,6.56,13.425,1
B Sumanth,3.75,0,8
B Veer,9.27,22,1
B Vivek Singh,2.776666667,0,0
B Williams,6.92,66,5
B Zuiderent,0,0,5
BA Bhatt,7.06,16.875,1
BA Carse,3.66,18,1
BA DeFreitas,6.5,24,1
BA Godleman,0,0,2
BA Hutton,12,12,8
BA Knowles,7.575,17.6,7
BA Parchment,0,0,1
BA Raine,8.206666667,16.63333333,1
BA Stokes,7.388571429,22.11428571,1
Babar Ali,0,0,5
Babar Azam,4.234,11.4,2
Babar Hayat,0,0,2
Babar Khan,7.63,28.5,1
Babar Naeem,7.36,7.666666667,9
Babar Rehman,8.753333333,18.33333333,5
Baber Khan,6.66,18,0
BAC Howell,8.12,13.6,5
Baltej Singh,6.37,18.4,2
Bandeep Singh,3.666666667,0,0
Bashir Shah,7.05,31,8
Basil Thampi,7.206666667,20.26666667,1
BAW Mendis,7.077777778,18.8,1
Bazid Khan,5,0,2
BB Chari,3.333333333,4,2
BB McCullum,0,0,1
BB Mosena,8.132,10.2,8
BB Roy,9.703333333,11,2
BB Samantray,4.645,20.125,1
BB Sanjeewa,8,14,2
BB Sran,7.103333333,19.46666667,5
BBB Yearwood,10.2,30,5
BBJ Griggs,0,0,2
BBJL Perera,0,0,7
BC Brown,0,0,7
BC de Wett,3.443333333,17,1
BC Fortuin,5.433333333,14.86666667,2
BC Hiini,9.75,40,1
BC Lara,0,0,1
BC Stephney,8,24,8
BC Thomas,0,0,8
BC van Schalkwyk,1.905,11,1
BCJ Cutting,8.665555556,24.74444444,8
BD Cotton,10.05,20,1
BD Lingwal,10.5,0,5
BD Snijman,0,0,8
BD Solanki,10.25,48,7
BD Thaker,0,0,2
BD Walters,6.826666667,24.81666667,1
BDH Stevens,6.95,15,8
BE Hefford,8.855,21,2
BE Hendricks,9.473333333,15.16666667,9
BE McGain,8.412,21.3,8
BE Scott,8.07,23.8,8
BE Young,6.58,21,8
Behram Khan,0,0,2
BEW McCord,7.75,24,1
BF Smith,0,0,1
BG Barnes,0,0,1
BG Drew,10.482,17.8,5
BG McDonald,9.33,18,3
BGF Green,6,0,7
BHN Howgego,0,0,0
Bhupinder Singh,8.7275,31.5,2
BI Louw,0,0,1
Bilal Asif,6.67,22.1,7
Bilal Irshad,15,0,1
Bilal Khan,6.9,20.9,0
Bilal Khilji,5.63,11.5,8
Bilal Munir,0,0,1
Bilal Shah,0,0,8
Bilawal,8.75,12,2
Bilawal Bhatti,7.96,18.2,2
Bilawal Iqbal,13.33,0,1
Bipul Sharma,6.44,23.5,7
Bishawnath Halder,6.9,23.1,5
Bismillah Khan,0,0,1
BJ Arnel,7.914285714,37.28571429,2
BJ Bess,6,24,9
BJ Crook,0,0,8
BJ Diamanti,7.211428571,15.45714286,1
BJ Dwarshuis,8.973333333,18.7,8
BJ Haddin,0,0,2
BJ Hodge,7.18,18.25555556,2
BJ McCarthy,8.97,15.8,5
BJ Pelser,6.9025,17.9,5
BJ Phillips,8.0925,16.275,5
BJ Rohrer,1.333333333,0,7
BJ Small,9.0475,35.25,1
BJ Taylor,11.29,10.3,4
BJ Thakkar,7.28,0,7
BJ Watling,0,0,4
BJ Wright,0.6875,3,8
BJ Young,6.9275,19.125,9
BJM Scott,0,0,1
BK Ipson,6.85,21,1
BKEL Milantha,0,0,8
BKG Mendis,0,0,0
BL Barends,7.788333333,25.03333333,8
BL Bennett,0,0,8
BL D'Oliveira,7.896,47.72,2
